Sales_U,Sales_USD,Date
0,0,JAN0591.1
0,0,JAN1291.1
0,0,JAN1991.1
0,0,JAN2691.1
0,0,FEB0291.1
0,0,FEB0991.1
0,0,FEB1691.1
0,0,FEB2391.1
0,0,MAR0291.1
0,0,MAR0991.1
0,0,MAR1691.1
0,0,MAR2391.1
0,0,MAR3091.1
0,0,APR0691.1
0,0,APR1391.1
0,0,APR2091.1
23247,23036,APR2791.1
24131,24418,MAY0491.1
24195,24097,MAY1191.1
40862,41185,MAY1891.1
39193,41716,MAY2591.1
25571,27947,JUN0191.1
22546,25025,JUN0891.1
24283,26965,JUN1591.1
53147,51634,JUN2291.1
32220,36368,JUN2991.1
29931,33766,JUL0691.1
19987,22721,JUL1391.1
20905,24233,JUL2091.1
19816,23061,JUL2791.1
19610,22933,AUG0391.1
18849,22110,AUG1091.1
19284,22357,AUG1791.1
19518,22824,AUG2491.1
64110,62961,AUG3191.1
36992,44991,SEP0791.1
20083,23469,SEP1491.1
17935,21102,SEP2191.1
17019,19584,SEP2891.1
17023,19814,OCT0591.1
16671,19308,OCT1291.1
16582,19273,OCT1991.1
16856,19821,OCT2691.1
17435,20529,NOV0291.1
16880,19475,NOV0991.1
45318,44512,NOV1691.1
39908,39028,NOV2391.1
34801,35297,NOV3091.1
24291,27549,DEC0791.1
26382,30067,DEC1491.1
29929,33786,DEC2191.1
24944,28281,DEC2891.1
22170,25468,JAN0492.1
17453,20083,JAN1192.1
29916,32370,JAN1892.1
21966,24557,JAN2592.1
16472,19130,FEB0192.1
36459,39070,FEB0892.1
24356,27600,FEB1592.1
18261,21619,FEB2292.1
16547,19082,FEB2992.1
17471,20061,MAR0792.1
17340,20036,MAR1492.1
17454,20197,MAR2192.1
39572,42697,MAR2892.1
34748,37429,APR0492.1
19676,22733,APR1192.1
48733,51965,APR1892.1
23743,26408,APR2592.1
21472,24743,MAY0292.1
22069,25440,MAY0992.1
24061,27710,MAY1692.1
32265,36392,MAY2392.1
44789,49097,MAY3092.1
34301,38328,JUN0692.1
24641,27828,JUN1392.1
24823,28661,JUN2092.1
20962,22951,JUN2792.1
28670,32557,JUL0492.1
60043,58375,JUL1192.1
42794,41813,JUL1892.1
20981,23481,JUL2592.1
19227,21881,AUG0192.1
20080,23109,AUG0892.1
20989,23986,AUG1592.1
21717,24985,AUG2292.1
66929,64090,AUG2992.1
41391,38293,SEP0592.1
19439,20882,SEP1292.1
17297,19677,SEP1992.1
16178,18630,SEP2692.1
16834,18702,OCT0392.1
15839,18280,OCT1092.1
14882,17419,OCT1792.1
16270,19105,OCT2492.1
16071,18888,OCT3192.1
17049,20139,NOV0792.1
16481,19485,NOV1492.1
27231,31580,NOV2192.1
33253,38686,NOV2892.1
61413,61106,DEC0592.1
38696,38503,DEC1292.1
22827,26300,DEC1992.1
28666,33187,DEC2692.1
